Unternehmen (EU) Anzahl,Jahr,Beschäftigtengrößenklassen,WZ2008 (Abschnitte): URS
1101,2020,0 bis unter 10 abhängig Beschäftigte,Bergbau und Gewinnung von Steinen und Erden
148020,2020,0 bis unter 10 abhängig Beschäftigte,Verarbeitendes Gewerbe
62197,2020,0 bis unter 10 abhängig Beschäftigte,Energieversorgung
6960,2020,0 bis unter 10 abhängig Beschäftigte,"Wasserversorg.,Entsorg.,Beseitig.v.Umweltverschm."
330071,2020,0 bis unter 10 abhängig Beschäftigte,Baugewerbe
490306,2020,0 bis unter 10 abhängig Beschäftigte,"Handel, Instandhaltung und Reparatur von Kfz"
80285,2020,0 bis unter 10 abhängig Beschäftigte,Verkehr und Lagerei
199092,2020,0 bis unter 10 abhängig Beschäftigte,Gastgewerbe
111211,2020,0 bis unter 10 abhängig Beschäftigte,Information und Kommunikation
62624,2020,0 bis unter 10 abhängig Beschäftigte,Erbringung von Finanz- und Versicherungsleistungen
179126,2020,0 bis unter 10 abhängig Beschäftigte,Grundstücks- und Wohnungswesen
