Jahr,Beschäftigtengrößenklassen,Rechtliche Einheiten Anzahl,WZ2008 (Abschnitte): URS
2021,0 bis unter 10 abhängig Beschäftigte,1288,Bergbau und Gewinnung von Steinen und Erden
2021,0 bis unter 10 abhängig Beschäftigte,149996,Verarbeitendes Gewerbe
2021,0 bis unter 10 abhängig Beschäftigte,69762,Energieversorgung
2021,0 bis unter 10 abhängig Beschäftigte,7612,"Wasserversorg.,Entsorg.,Beseitig.v.Umweltverschm."
2021,0 bis unter 10 abhängig Beschäftigte,337563,Baugewerbe
2021,0 bis unter 10 abhängig Beschäftigte,494007,"Handel, Instandhaltung und Reparatur von Kfz"
2021,0 bis unter 10 abhängig Beschäftigte,80959,Verkehr und Lagerei
2021,0 bis unter 10 abhängig Beschäftigte,197240,Gastgewerbe
2021,0 bis unter 10 abhängig Beschäftigte,116287,Information und Kommunikation
2021,0 bis unter 10 abhängig Beschäftigte,71271,Erbringung von Finanz- und Versicherungsleistungen
2021,0 bis unter 10 abhängig Beschäftigte,204487,Grundstücks- und Wohnungswesen
