Niederlassungen Anzahl,Jahr,Beschäftigtengrößenklassen,WZ2008 (Abschnitte): URS
1495,2021,0 bis unter 10 abhängig Beschäftigte,Bergbau und Gewinnung von Steinen und Erden
155709,2021,0 bis unter 10 abhängig Beschäftigte,Verarbeitendes Gewerbe
71064,2021,0 bis unter 10 abhängig Beschäftigte,Energieversorgung
8582,2021,0 bis unter 10 abhängig Beschäftigte,"Wasserversorg.,Entsorg.,Beseitig.v.Umweltverschm."
342911,2021,0 bis unter 10 abhängig Beschäftigte,Baugewerbe
558861,2021,0 bis unter 10 abhängig Beschäftigte,"Handel, Instandhaltung und Reparatur von Kfz"
87918,2021,0 bis unter 10 abhängig Beschäftigte,Verkehr und Lagerei
207372,2021,0 bis unter 10 abhängig Beschäftigte,Gastgewerbe
124342,2021,0 bis unter 10 abhängig Beschäftigte,Information und Kommunikation
81695,2021,0 bis unter 10 abhängig Beschäftigte,Erbringung von Finanz- und Versicherungsleistungen
209086,2021,0 bis unter 10 abhängig Beschäftigte,Grundstücks- und Wohnungswesen
