Niederlassungen Anzahl,Jahr,Beschäftigtengrößenklassen,Bundesländer,WZ2008 (Abschnitte): URS
153,2021,0 bis unter 10 abhängig Beschäftigte,Baden-Württemberg,Bergbau und Gewinnung von Steinen und Erden
26775,2021,0 bis unter 10 abhängig Beschäftigte,Baden-Württemberg,Verarbeitendes Gewerbe
9878,2021,0 bis unter 10 abhängig Beschäftigte,Baden-Württemberg,Energieversorgung
1308,2021,0 bis unter 10 abhängig Beschäftigte,Baden-Württemberg,"Wasserversorg.,Entsorg.,Beseitig.v.Umweltverschm."
43564,2021,0 bis unter 10 abhängig Beschäftigte,Baden-Württemberg,Baugewerbe
75922,2021,0 bis unter 10 abhängig Beschäftigte,Baden-Württemberg,"Handel, Instandhaltung und Reparatur von Kfz"
10837,2021,0 bis unter 10 abhängig Beschäftigte,Baden-Württemberg,Verkehr und Lagerei
29808,2021,0 bis unter 10 abhängig Beschäftigte,Baden-Württemberg,Gastgewerbe
15933,2021,0 bis unter 10 abhängig Beschäftigte,Baden-Württemberg,Information und Kommunikation
12422,2021,0 bis unter 10 abhängig Beschäftigte,Baden-Württemberg,Erbringung von Finanz- und Versicherungsleistungen
27164,2021,0 bis unter 10 abhängig Beschäftigte,Baden-Württemberg,Grundstücks- und Wohnungswesen
