Jahr,WZ2008: Unternehmensdemografie,Schliessungsrate von Unternehmen Prozent,Abhängig Beschäftigte Anzahl,Anteil d.tätigen Personen i.Unternehmensgründungen Prozent,Abhängig Beschäftigte in Unternehmensschliessungen Anzahl,Unternehmen (EU) Anzahl,Tätige Personen Anzahl,Abhängig Beschäftigte in Unternehmensgründungen Anzahl,Anteil d. tätigen Personen in Unternehmensschliess. Prozent,Tätige Personen in Unternehmensschliessungen Anzahl,Anteil der abh. Beschäft. in Unternehmensgründ. Prozent,Gründungsrate von Unternehmen Prozent,Unternehmensschliessungen Anzahl,Tätige Personen in Unternehmensgründungen Anzahl,Unternehmensgründungen Anzahl,Anteil der abh. Beschäft. in Unternehmensschliess. Prozent
2020,Produzierendes Gewerbe und Dienstleistungsbereich,"9,5",32494501,"1,2",246800,3146749,35343557,210476,"1,5",523961,"0,6","7,0",300377,409186,219476,"0,8"
2020,Gewerbliche Wirtschaft (oh.Beteiligungsgesellsch.),"9,5",26316306,"1,2",208216,2605968,28659301,183684,"1,5",434587,"0,7","7,2",246848,353932,186515,"0,8"
2020,Produzierendes Gewerbe ohne Baugewerbe,"6,7",8252652,"0,4",31313,284309,8524578,21286,"0,6",49813,"0,3","3,9",19047,31412,11142,"0,4"
2020,Sonstige Dienstleistungsbereiche,"9,9",6178195,"0,8",38584,540781,6684256,26792,"1,3",89374,"0,4","6,1",53529,55254,32961,"0,6"
2020,Informations- und Kommunikationstechnik,"10,8",1197302,"1,4",13373,110916,1268242,10921,"1,8",23050,"0,9","8,8",11960,17705,9793,"1,1"
2020,Bergbau und Gewinnung von Steinen und Erden,"4,4",35970,"0,2",105,1630,37895,60,"0,4",165,"0,2","3,1",71,92,50,"0,3"
2020,Verarbeitendes Gewerbe,"6,1",7633602,"0,3",29972,209269,7804278,20250,"0,5",40676,"0,3","3,4",12775,25606,7142,"0,4"
2020,Ernährungsgewerbe und Tabakverarbeitung,"6,3",908020,"0,2",6051,28372,935908,1274,"0,8",7653,"0,1","3,4",1787,2094,966,"0,7"
2020,"H.v. Holz-, Flecht-, Korb-u.Korkwaren (ohne Möbel)","6,4",127112,"0,5",520,12196,138380,265,"0,9",1232,"0,2","3,3",780,636,399,"0,4"
2020,"Herstellung v. Papier,Pappe,Druckerzeugnissen usw.","7,7",277547,"0,3",954,12123,287510,467,"0,6",1725,"0,2","3,1",936,767,373,"0,3"
2020,Herstellung von Gummi- und Kunststoffwaren,"4,3",442775,"0,1",629,7149,448108,223,"0,2",850,"0,1","1,9",308,302,139,"0,1"
