Jahr,WZ2008: Unternehmensdemografie,Schliessungsrate von Unternehmen Prozent,Abhängig Beschäftigte Anzahl,Anteil d.tätigen Personen i.Unternehmensgründungen Prozent,Abhängig Beschäftigte in Unternehmensschliessungen Anzahl,Unternehmen (EU) Anzahl,Tätige Personen Anzahl,Abhängig Beschäftigte in Unternehmensgründungen Anzahl,Anteil d. tätigen Personen in Unternehmensschliess. Prozent,Beschäftigtengrößenklassen,Tätige Personen in Unternehmensschliessungen Anzahl,Anteil der abh. Beschäft. in Unternehmensgründ. Prozent,Gründungsrate von Unternehmen Prozent,Unternehmensschliessungen Anzahl,Tätige Personen in Unternehmensgründungen Anzahl,Unternehmensgründungen Anzahl,Anteil der abh. Beschäft. in Unternehmensschliess. Prozent
2020,Produzierendes Gewerbe und Dienstleistungsbereich,"8,7",2275843,"5,7",116502,1264175,3362049,107210,"6,2",1 bis 4 abhängig Beschäftigte,207089,"4,7","7,8",109722,190704,98981,"5,1"
2020,Produzierendes Gewerbe und Dienstleistungsbereich,"1,4",2423269,"1,1",33791,371461,2728501,27469,"1,4",5 bis 9 abhängig Beschäftigte,38511,"1,1","1,2",5374,30336,4375,"1,4"
2020,Produzierendes Gewerbe und Dienstleistungsbereich,"0,7",27795389,"0,3",96507,391734,28112321,75796,"0,4",10 und mehr abhängig Beschäftigte,98870,"0,3","0,6",2700,77365,2349,"0,3"
2020,Gewerbliche Wirtschaft (oh.Beteiligungsgesellsch.),"8,7",1836680,"5,9",94766,1041955,2726089,90016,"6,2",1 bis 4 abhängig Beschäftigte,168800,"4,9","8,0",90179,161674,82941,"5,2"
2020,Gewerbliche Wirtschaft (oh.Beteiligungsgesellsch.),"1,5",1855370,"1,2",26671,283619,2073524,23090,"1,5",5 bis 9 abhängig Beschäftigte,30166,"1,2","1,3",4230,25392,3677,"1,4"
2020,Gewerbliche Wirtschaft (oh.Beteiligungsgesellsch.),"0,7",22624257,"0,3",86778,326451,22885039,70578,"0,4",10 und mehr abhängig Beschäftigte,88648,"0,3","0,6",2227,71944,2063,"0,4"
2020,Produzierendes Gewerbe ohne Baugewerbe,"6,9",150004,"2,4",6152,78037,213860,3446,"4,7",1 bis 4 abhängig Beschäftigte,10023,"2,3","3,9",5359,5178,3036,"4,1"
2020,Produzierendes Gewerbe ohne Baugewerbe,"1,4",218576,"0,7",2972,32739,241593,1472,"1,4",5 bis 9 abhängig Beschäftigte,3316,"0,7","0,7",467,1621,234,"1,4"
2020,Produzierendes Gewerbe ohne Baugewerbe,"0,5",7884073,"0,2",22190,68036,7942201,16367,"0,3",10 und mehr abhängig Beschäftigte,22443,"0,2","0,3",312,16590,207,"0,3"
2020,Sonstige Dienstleistungsbereiche,"8,8",439164,"4,6",21736,222220,635959,17194,"6,0",1 bis 4 abhängig Beschäftigte,38289,"3,9","7,2",19543,29030,16040,"4,9"
2020,Sonstige Dienstleistungsbereiche,"1,3",567899,"0,8",7120,87842,654977,4380,"1,3",5 bis 9 abhängig Beschäftigte,8345,"0,8","0,8",1144,4944,698,"1,3"
