Jahr,Rechtsform,WZ2008: Unternehmensdemografie,Schliessungsrate von Unternehmen Prozent,Abhängig Beschäftigte Anzahl,Anteil d.tätigen Personen i.Unternehmensgründungen Prozent,Abhängig Beschäftigte in Unternehmensschliessungen Anzahl,Unternehmen (EU) Anzahl,Tätige Personen Anzahl,Abhängig Beschäftigte in Unternehmensgründungen Anzahl,Anteil d. tätigen Personen in Unternehmensschliess. Prozent,Tätige Personen in Unternehmensschliessungen Anzahl,Anteil der abh. Beschäft. in Unternehmensgründ. Prozent,Gründungsrate von Unternehmen Prozent,Unternehmensschliessungen Anzahl,Tätige Personen in Unternehmensgründungen Anzahl,Unternehmensgründungen Anzahl,Anteil der abh. Beschäft. in Unternehmensschliess. Prozent
2020,Einzelunternehmen,Produzierendes Gewerbe und Dienstleistungsbereich,"11,1",4662814,"2,9",110776,1992092,6650571,61421,"4,9",327534,"1,3","6,6",220246,190185,130579,"2,4"
2020,Personengesellschaften,Produzierendes Gewerbe und Dienstleistungsbereich,"8,3",8584854,"1,2",57309,477343,9357097,52980,"1,2",110521,"0,6","9,3",39566,113987,44539,"0,7"
2020,Kapitalgesellschaften,Produzierendes Gewerbe und Dienstleistungsbereich,"6,0",19246834,"0,5",78715,677314,19335889,96074,"0,4",85906,"0,5","6,5",40565,105013,44358,"0,4"
2020,Einzelunternehmen,Gewerbliche Wirtschaft (oh.Beteiligungsgesellsch.),"11,0",3576628,"3,0",87592,1598835,5171815,49509,"5,0",261015,"1,4","6,7",176535,155423,107424,"2,4"
2020,Personengesellschaften,Gewerbliche Wirtschaft (oh.Beteiligungsgesellsch.),"8,5",6695180,"1,4",45756,381414,7362066,44945,"1,3",92218,"0,7","10,0",32575,101162,38128,"0,7"
2020,Kapitalgesellschaften,Gewerbliche Wirtschaft (oh.Beteiligungsgesellsch.),"6,0",16044498,"0,6",74868,625719,16125421,89230,"0,5",81354,"0,6","6,5",37738,97348,40963,"0,5"
2020,Einzelunternehmen,Produzierendes Gewerbe ohne Baugewerbe,"9,0",377941,"1,6",7044,134762,512537,1645,"3,7",18955,"0,4","4,8",12085,8028,6464,"1,9"
2020,Personengesellschaften,Produzierendes Gewerbe ohne Baugewerbe,"5,9",2014713,"0,2",5022,59750,2137263,1866,"0,5",11239,"0,1","3,1",3534,5174,1845,"0,2"
2020,Kapitalgesellschaften,Produzierendes Gewerbe ohne Baugewerbe,"3,8",5859998,"0,3",19247,89797,5874778,17774,"0,3",19619,"0,3","3,2",3428,18210,2833,"0,3"
2020,Einzelunternehmen,Sonstige Dienstleistungsbereiche,"11,1",1086186,"2,4",23184,393257,1478756,11912,"4,5",66519,"1,1","5,9",43711,34763,23155,"2,1"
2020,Personengesellschaften,Sonstige Dienstleistungsbereiche,"7,3",1889673,"0,6",11553,95929,1995032,8035,"0,9",18303,"0,4","6,7",6991,12826,6411,"0,6"
