Zeitpunkt der Unternehmensgründung,Jahr,WZ2008: Unternehmensdemografie,Ueberlebensrate der Unternehmen Prozent,Ueberlebende Unternehmen Anzahl,Tätige Personen in überlebenden Unternehmen Anzahl
vor 1 Jahr,2020,Produzierendes Gewerbe und Dienstleistungsbereich,"72,2",224759,603549
vor 1 Jahr,2020,Gewerbliche Wirtschaft (oh.Beteiligungsgesellsch.),"72,9",181955,487607
vor 1 Jahr,2020,Produzierendes Gewerbe ohne Baugewerbe,"61,6",11346,33579
vor 1 Jahr,2020,Sonstige Dienstleistungsbereiche,"69,0",42804,115942
vor 1 Jahr,2020,Informations- und Kommunikationstechnik,"73,9",9350,20055
vor 1 Jahr,2020,Bergbau und Gewinnung von Steinen und Erden,"78,1",50,108
vor 1 Jahr,2020,Verarbeitendes Gewerbe,"75,7",7551,27211
vor 1 Jahr,2020,Ernährungsgewerbe und Tabakverarbeitung,"74,3",1036,5623
vor 1 Jahr,2020,Textil- und Bekleidungsgewerbe,"64,7",411,866
vor 1 Jahr,2020,"Herstellung von Leder, Lederwaren und Schuhen","68,5",63,126
vor 1 Jahr,2020,"H.v. Holz-, Flecht-, Korb-u.Korkwaren (ohne Möbel)","73,2",380,881
