Zeitpunkt der Unternehmensgründung,Jahr,WZ2008: Unternehmensdemografie,Beschäftigtengrößenklassen,Ueberlebensrate der Unternehmen Prozent,Ueberlebende Unternehmen Anzahl,Tätige Personen in überlebenden Unternehmen Anzahl
vor 1 Jahr,2020,Produzierendes Gewerbe und Dienstleistungsbereich,0 abhängig Beschäftigte,"61,9",101647,116669
vor 1 Jahr,2020,Produzierendes Gewerbe und Dienstleistungsbereich,1 bis 4 abhängig Beschäftigte,"82,7",113389,327491
vor 1 Jahr,2020,Produzierendes Gewerbe und Dienstleistungsbereich,5 bis 9 abhängig Beschäftigte,"94,9",6489,66161
vor 1 Jahr,2020,Produzierendes Gewerbe und Dienstleistungsbereich,10 und mehr abhängig Beschäftigte,"94,8",3234,93228
vor 1 Jahr,2020,Gewerbliche Wirtschaft (oh.Beteiligungsgesellsch.),0 abhängig Beschäftigte,"63,6",85685,99167
vor 1 Jahr,2020,Gewerbliche Wirtschaft (oh.Beteiligungsgesellsch.),1 bis 4 abhängig Beschäftigte,"83,0",88396,259080
vor 1 Jahr,2020,Gewerbliche Wirtschaft (oh.Beteiligungsgesellsch.),5 bis 9 abhängig Beschäftigte,"94,9",5201,52770
vor 1 Jahr,2020,Gewerbliche Wirtschaft (oh.Beteiligungsgesellsch.),10 und mehr abhängig Beschäftigte,"95,1",2673,76590
vor 1 Jahr,2020,Produzierendes Gewerbe ohne Baugewerbe,0 abhängig Beschäftigte,"51,8",6891,8548
vor 1 Jahr,2020,Produzierendes Gewerbe ohne Baugewerbe,1 bis 4 abhängig Beschäftigte,"86,1",3872,11789
vor 1 Jahr,2020,Produzierendes Gewerbe ohne Baugewerbe,5 bis 9 abhängig Beschäftigte,"96,0",340,3819
