Umsatz Tsd. EUR,Handwerksarten,Jahr,Tätige Personen Anzahl,Tätige Personen je Unternehmen Anzahl,Sozialversicherungspflichtig Beschäftigte Anzahl,Handwerksunternehmen Anzahl,Umsatz je tätige Person EUR,Gewerbegruppen und Gewerbezweige,Geringfügig entlohnte Beschäftigte Anzahl
577632938,Zulassungspflichtiges Handwerk,2019,4300229,10,3413297,439061,134326,Insgesamt,430241
117057572,Zulassungspflichtiges Handwerk,2019,767588,11,648653,70870,152501,Bauhauptgewerbe,45675
67369583,Zulassungspflichtiges Handwerk,2019,391433,12,335405,32812,172110,Maurer und Betonbauer,22122
12058356,Zulassungspflichtiges Handwerk,2019,93226,7,71849,13851,129345,Zimmerer,7009
10552874,Zulassungspflichtiges Handwerk,2019,96743,7,76088,13654,109082,Dachdecker,6569
21297976,Zulassungspflichtiges Handwerk,2019,135790,23,123174,5977,156845,Straßenbauer,6488
1882451,Zulassungspflichtiges Handwerk,2019,13811,11,11573,1271,136301,"Wärme-, Kälte- und Schallschutzisolierer",919
831332,Zulassungspflichtiges Handwerk,2019,5318,11,4434,463,156324,Brunnenbauer,404
3065000,Zulassungspflichtiges Handwerk,2019,31267,11,26130,2842,98027,Gerüstbauer,2164
152671886,Zulassungspflichtiges Handwerk,2019,1314204,8,1040613,164121,116171,Ausbaugewerbe,103732
936466,Zulassungspflichtiges Handwerk,2019,7653,4,4824,1853,122366,Ofen- und Luftheizungsbauer,920
