Umsatz Tsd. EUR,Handwerksarten,Jahr,Tätige Personen Anzahl,Tätige Personen je Unternehmen Anzahl,Sozialversicherungspflichtig Beschäftigte Anzahl,Handwerksunternehmen Anzahl,Gewerbezweige,Umsatz je tätige Person EUR,Geringfügig entlohnte Beschäftigte Anzahl
614285117,Zulassungspflichtiges Handwerk,2020,4527545,9,3572707,500518,Insgesamt,135677,435146
129848695,Zulassungspflichtiges Handwerk,2020,784846,11,665753,70689,Bauhauptgewerbe,165445,46070
74253778,Zulassungspflichtiges Handwerk,2020,395155,12,340069,32277,Maurer und Betonbauer,187911,21760
13825675,Zulassungspflichtiges Handwerk,2020,95338,7,73854,13772,Zimmerer,145017,7207
11491855,Zulassungspflichtiges Handwerk,2020,97970,7,77289,13568,Dachdecker,117300,6692
23672791,Zulassungspflichtiges Handwerk,2020,141177,23,128517,6024,Straßenbauer,167682,6477
1958931,Zulassungspflichtiges Handwerk,2020,13852,11,11674,1247,"Wärme-, Kälte- und Schallschutzisolierer",141419,885
934843,Zulassungspflichtiges Handwerk,2020,5538,12,4663,458,Brunnenbauer,168805,398
3251985,Zulassungspflichtiges Handwerk,2020,32379,11,27110,2843,Gerüstbauer,100435,2303
458837,Zulassungspflichtiges Handwerk,2020,3437,7,2577,500,Betonstein- und Terrazzohersteller,133499,348
182638355,Zulassungspflichtiges Handwerk,2020,1542665,7,1184628,226724,Ausbaugewerbe,118391,123899
