Umsatz Tsd. EUR,Handwerksarten,Jahr,Tätige Personen Anzahl,Tätige Personen je Unternehmen Anzahl,Beschäftigtengrößenklassen,Sozialversicherungspflichtig Beschäftigte Anzahl,Handwerksunternehmen Anzahl,Umsatz je tätige Person EUR,Gewerbegruppen und Gewerbezweige,Geringfügig entlohnte Beschäftigte Anzahl
41782139,Zulassungspflichtiges Handwerk,2019,516246,2,unter 5 tätige Personen,209557,241459,80935,Insgesamt,56289
57852565,Zulassungspflichtiges Handwerk,2019,652593,7,5 - 9 tätige Personen,458062,99121,88650,Insgesamt,90232
84185504,Zulassungspflichtiges Handwerk,2019,767705,13,10 - 19 tätige Personen,614211,57504,109659,Insgesamt,93545
120267200,Zulassungspflichtiges Handwerk,2019,876747,29,20 - 49 tätige Personen,760691,29920,137174,Insgesamt,85200
273545530,Zulassungspflichtiges Handwerk,2019,1486938,134,50 und mehr tätige Personen,1370776,11057,183966,Insgesamt,104975
577632938,Zulassungspflichtiges Handwerk,2019,4300229,10,Insgesamt,3413297,439061,134326,Insgesamt,430241
7232114,Zulassungspflichtiges Handwerk,2019,71387,2,unter 5 tätige Personen,30322,33896,101309,Bauhauptgewerbe,5752
11711711,Zulassungspflichtiges Handwerk,2019,113536,7,5 - 9 tätige Personen,85519,17004,103154,Bauhauptgewerbe,10382
19078308,Zulassungspflichtiges Handwerk,2019,156762,13,10 - 19 tätige Personen,132623,11681,121702,Bauhauptgewerbe,12180
26966901,Zulassungspflichtiges Handwerk,2019,184184,29,20 - 49 tätige Personen,167178,6303,146413,Bauhauptgewerbe,10643
52068538,Zulassungspflichtiges Handwerk,2019,241719,122,50 und mehr tätige Personen,233011,1986,215409,Bauhauptgewerbe,6718
