Umsatz Tsd. EUR,Handwerksarten,Jahr,Tätige Personen Anzahl,Tätige Personen je Unternehmen Anzahl,Beschäftigtengrößenklassen,Sozialversicherungspflichtig Beschäftigte Anzahl,Handwerksunternehmen Anzahl,Gewerbezweige,Umsatz je tätige Person EUR,Geringfügig entlohnte Beschäftigte Anzahl
50587593,Zulassungspflichtiges Handwerk,2020,602290,2,unter 5 tätige Personen,237593,290613,Insgesamt,83992,64029
65217280,Zulassungspflichtiges Handwerk,2020,703807,7,5 - 9 tätige Personen,496854,107115,Insgesamt,92664,94310
92046538,Zulassungspflichtiges Handwerk,2020,810689,13,10 - 19 tätige Personen,652528,60789,Insgesamt,113541,94847
127384324,Zulassungspflichtiges Handwerk,2020,905372,29,20 - 49 tätige Personen,790271,30901,Insgesamt,140698,83265
279049382,Zulassungspflichtiges Handwerk,2020,1505387,136,50 und mehr tätige Personen,1395461,11100,Insgesamt,185367,98695
614285117,Zulassungspflichtiges Handwerk,2020,4527545,9,Insgesamt,3572707,500518,Insgesamt,135677,435146
7537201,Zulassungspflichtiges Handwerk,2020,70078,2,unter 5 tätige Personen,29614,33138,Bauhauptgewerbe,107554,5969
12835300,Zulassungspflichtiges Handwerk,2020,115038,7,5 - 9 tätige Personen,86762,17203,Bauhauptgewerbe,111574,10440
20706791,Zulassungspflichtiges Handwerk,2020,159560,13,10 - 19 tätige Personen,135247,11854,Bauhauptgewerbe,129774,12177
29714416,Zulassungspflichtiges Handwerk,2020,189288,29,20 - 49 tätige Personen,171945,6454,Bauhauptgewerbe,156980,10831
59054987,Zulassungspflichtiges Handwerk,2020,250882,123,50 und mehr tätige Personen,242185,2040,Bauhauptgewerbe,235389,6653
