Umsatz Tsd. EUR,Handwerksarten,Jahr,Tätige Personen Anzahl,Tätige Personen je Unternehmen Anzahl,Umsatzgrößenklassen,Sozialversicherungspflichtig Beschäftigte Anzahl,Handwerksunternehmen Anzahl,Umsatz je tätige Person EUR,Gewerbegruppen und Gewerbezweige,Geringfügig entlohnte Beschäftigte Anzahl
1480519,Zulassungspflichtiges Handwerk,2019,74844,2,unter 50 000 EUR,15271,49605,19781,Insgesamt,8848
6813881,Zulassungspflichtiges Handwerk,2019,162503,2,50 000 bis unter 125 000 EUR,54533,80960,41931,Insgesamt,24265
14845288,Zulassungspflichtiges Handwerk,2019,254045,3,125 000 bis unter 250 000 EUR,130636,81925,58436,Insgesamt,37710
27539611,Zulassungspflichtiges Handwerk,2019,383045,5,250 000 bis unter 500 000 EUR,247166,76927,71897,Insgesamt,54722
186358305,Zulassungspflichtiges Handwerk,2019,1814511,14,500 000 bis unter 5 Mill. EUR,1473742,132370,102704,Insgesamt,202785
340595334,Zulassungspflichtiges Handwerk,2019,1611281,93,5 Mill. EUR und mehr,1491949,17274,211382,Insgesamt,101911
577632938,Zulassungspflichtiges Handwerk,2019,4300229,10,Insgesamt,3413297,439061,134326,Insgesamt,430241
172919,Zulassungspflichtiges Handwerk,2019,9362,2,unter 50 000 EUR,2618,5896,18470,Bauhauptgewerbe,730
849461,Zulassungspflichtiges Handwerk,2019,16822,2,50 000 bis unter 125 000 EUR,4607,10086,50497,Bauhauptgewerbe,1752
1916694,Zulassungspflichtiges Handwerk,2019,28599,3,125 000 bis unter 250 000 EUR,14341,10514,67020,Bauhauptgewerbe,3172
4557748,Zulassungspflichtiges Handwerk,2019,58115,5,250 000 bis unter 500 000 EUR,39483,12564,78426,Bauhauptgewerbe,5469
