Umsatz Tsd. EUR,Handwerksarten,Jahr,Tätige Personen Anzahl,Tätige Personen je Unternehmen Anzahl,Umsatzgrößenklassen,Sozialversicherungspflichtig Beschäftigte Anzahl,Handwerksunternehmen Anzahl,Gewerbezweige,Umsatz je tätige Person EUR,Geringfügig entlohnte Beschäftigte Anzahl
1865082,Zulassungspflichtiges Handwerk,2020,94525,2,unter 50 000 EUR,20930,61019,Insgesamt,19731,11329
8361019,Zulassungspflichtiges Handwerk,2020,195266,2,50 000 bis unter 125 000 EUR,65013,100342,Insgesamt,42819,26728
16419030,Zulassungspflichtiges Handwerk,2020,271222,3,125 000 bis unter 250 000 EUR,137230,90832,Insgesamt,60537,39134
30271453,Zulassungspflichtiges Handwerk,2020,402263,5,250 000 bis unter 500 000 EUR,257272,84728,Insgesamt,75253,55751
205175942,Zulassungspflichtiges Handwerk,2020,1915594,13,500 000 bis unter 5 Mill. EUR,1558590,145530,Insgesamt,107108,205413
352192591,Zulassungspflichtiges Handwerk,2020,1648675,91,5 Mill. EUR und mehr,1533672,18067,Insgesamt,213622,96791
614285117,Zulassungspflichtiges Handwerk,2020,4527545,9,Insgesamt,3572707,500518,Insgesamt,135677,435146
152988,Zulassungspflichtiges Handwerk,2020,8409,2,unter 50 000 EUR,2471,5174,Bauhauptgewerbe,18193,659
816404,Zulassungspflichtiges Handwerk,2020,15848,2,50 000 bis unter 125 000 EUR,4173,9668,Bauhauptgewerbe,51515,1659
1814156,Zulassungspflichtiges Handwerk,2020,25953,3,125 000 bis unter 250 000 EUR,12452,9970,Bauhauptgewerbe,69902,3011
4450941,Zulassungspflichtiges Handwerk,2020,54680,4,250 000 bis unter 500 000 EUR,36535,12279,Bauhauptgewerbe,81400,5289
