Umsatz Tsd. EUR,Handwerksarten,Jahr,Rechtsform,Tätige Personen Anzahl,Tätige Personen je Unternehmen Anzahl,Beschäftigtengrößenklassen,Sozialversicherungspflichtig Beschäftigte Anzahl,Handwerksunternehmen Anzahl,Umsatz je tätige Person EUR,Geringfügig entlohnte Beschäftigte Anzahl
50587593,Zulassungspflichtiges Handwerk,2020,Insgesamt,602290,2,unter 5 tätige Personen,237593,290613,83992,64029
65217280,Zulassungspflichtiges Handwerk,2020,Insgesamt,703807,7,5 - 9 tätige Personen,496854,107115,92664,94310
92046538,Zulassungspflichtiges Handwerk,2020,Insgesamt,810689,13,10 - 19 tätige Personen,652528,60789,113541,94847
127384324,Zulassungspflichtiges Handwerk,2020,Insgesamt,905372,29,20 - 49 tätige Personen,790271,30901,140698,83265
279049382,Zulassungspflichtiges Handwerk,2020,Insgesamt,1505387,136,50 und mehr tätige Personen,1395461,11100,185367,98695
614285117,Zulassungspflichtiges Handwerk,2020,Insgesamt,4527545,9,Insgesamt,3572707,500518,135677,435146
36482516,Zulassungspflichtiges Handwerk,2020,Einzelunternehmen,479455,2,unter 5 tätige Personen,184184,243445,76092,51826
30966303,Zulassungspflichtiges Handwerk,2020,Einzelunternehmen,397568,6,5 - 9 tätige Personen,276664,62091,77889,58813
22153023,Zulassungspflichtiges Handwerk,2020,Einzelunternehmen,257156,13,10 - 19 tätige Personen,198758,20087,86146,38311
11190970,Zulassungspflichtiges Handwerk,2020,Einzelunternehmen,128593,27,20 - 49 tätige Personen,102896,4704,87026,20993
3659461,Zulassungspflichtiges Handwerk,2020,Einzelunternehmen,54076,89,50 und mehr tätige Personen,43368,606,67673,10102
