Umsatz Tsd. EUR,Handwerksarten,Jahr,Tätige Personen Anzahl,Tätige Personen je Unternehmen Anzahl,Sozialversicherungspflichtig Beschäftigte Anzahl,Handwerksunternehmen Anzahl,WZ2008 (ausgewählte Positionen): Handwerk,Umsatz je tätige Person EUR,Geringfügig entlohnte Beschäftigte Anzahl
650727491,Handwerk insgesamt,2020,5399165,10,4139121,560432,Insgesamt,120524,678306
157215809,Handwerk insgesamt,2020,1403249,15,1142279,93260,Verarbeitendes Gewerbe,112037,163917
34285487,Handwerk insgesamt,2020,442179,27,338727,16558,Herstellung von Nahrungs- und Futtermitteln,77538,86069
16426192,Handwerk insgesamt,2020,117658,17,90746,6758,Schlachten und Fleischverarbeitung,139610,19764
15338274,Handwerk insgesamt,2020,314239,34,239857,9164,Herstellung von Back- und Teigwaren,48811,64816
3707798,Handwerk insgesamt,2020,33994,6,24277,5433,"H.v.Glas,-waren,Keramik,Verarb. v.Steinen u.Erden",109072,4005
30756441,Handwerk insgesamt,2020,263902,12,220181,21343,Herstellung von Metallerzeugnissen,116545,21680
14619631,Handwerk insgesamt,2020,111183,13,93929,8538,Stahl- und Leichtmetallbau,131492,8431
22590814,Handwerk insgesamt,2020,143292,27,130564,5321,Maschinenbau,157656,7280
8794941,Handwerk insgesamt,2020,65706,9,53411,7524,Herstellung von Möbeln,133853,4446
9667951,Handwerk insgesamt,2020,113635,9,85449,12608,Herstellung von sonstigen Waren,85079,14942
