Umsatz Tsd. EUR,Handwerksarten,Jahr,Tätige Personen Anzahl,Tätige Personen je Unternehmen Anzahl,Sozialversicherungspflichtig Beschäftigte Anzahl,Bundesländer,Handwerksunternehmen Anzahl,Umsatz je tätige Person EUR,Gewerbegruppen und Gewerbezweige,Geringfügig entlohnte Beschäftigte Anzahl
97158453,Zulassungspflichtiges Handwerk,2019,644020,11,510204,Baden-Württemberg,61184,150862,Insgesamt,70184
20054012,Zulassungspflichtiges Handwerk,2019,105761,14,91538,Baden-Württemberg,7774,189616,Bauhauptgewerbe,6182
12811708,Zulassungspflichtiges Handwerk,2019,56643,18,50494,Baden-Württemberg,3207,226183,Maurer und Betonbauer,2825
3139758,Zulassungspflichtiges Handwerk,2019,22409,8,17760,Baden-Württemberg,2796,140111,Zimmerer,1760
1029623,Zulassungspflichtiges Handwerk,2019,7434,10,6188,Baden-Württemberg,758,138502,Dachdecker,471
2387770,Zulassungspflichtiges Handwerk,2019,13519,27,12327,Baden-Württemberg,494,176623,Straßenbauer,682
304379,Zulassungspflichtiges Handwerk,2019,1797,11,1488,Baden-Württemberg,166,169382,"Wärme-, Kälte- und Schallschutzisolierer",134
65711,Zulassungspflichtiges Handwerk,2019,434,26,394,Baden-Württemberg,17,151408,Brunnenbauer,23
315063,Zulassungspflichtiges Handwerk,2019,3525,10,2887,Baden-Württemberg,336,89380,Gerüstbauer,287
23845038,Zulassungspflichtiges Handwerk,2019,189436,8,149293,Baden-Württemberg,23308,125874,Ausbaugewerbe,15975
148295,Zulassungspflichtiges Handwerk,2019,1177,4,713,Baden-Württemberg,297,125994,Ofen- und Luftheizungsbauer,159
