Umsatz Tsd. EUR,Handwerksarten,Jahr,Tätige Personen Anzahl,Tätige Personen je Unternehmen Anzahl,Sozialversicherungspflichtig Beschäftigte Anzahl,Bundesländer,Handwerksunternehmen Anzahl,Gewerbezweige,Umsatz je tätige Person EUR,Geringfügig entlohnte Beschäftigte Anzahl
101937806,Zulassungspflichtiges Handwerk,2020,674724,10,532588,Baden-Württemberg,68864,Insgesamt,151081,70546
22618232,Zulassungspflichtiges Handwerk,2020,108474,14,94035,Baden-Württemberg,7813,Bauhauptgewerbe,208513,6361
14378530,Zulassungspflichtiges Handwerk,2020,57467,18,51301,Baden-Württemberg,3183,Maurer und Betonbauer,250205,2870
3590023,Zulassungspflichtiges Handwerk,2020,23006,8,18296,Baden-Württemberg,2778,Zimmerer,156047,1839
1121441,Zulassungspflichtiges Handwerk,2020,7553,10,6276,Baden-Württemberg,754,Dachdecker,148476,506
2716786,Zulassungspflichtiges Handwerk,2020,14108,28,12939,Baden-Württemberg,506,Straßenbauer,192571,647
306026,Zulassungspflichtiges Handwerk,2020,1736,10,1432,Baden-Württemberg,166,"Wärme-, Kälte- und Schallschutzisolierer",176282,130
80145,Zulassungspflichtiges Handwerk,2020,466,27,424,Baden-Württemberg,17,Brunnenbauer,171985,25
338746,Zulassungspflichtiges Handwerk,2020,3537,11,2891,Baden-Württemberg,329,Gerüstbauer,95772,302
86535,Zulassungspflichtiges Handwerk,2020,601,8,476,Baden-Württemberg,80,Betonstein- und Terrazzohersteller,143985,42
28649112,Zulassungspflichtiges Handwerk,2020,222961,7,171671,Baden-Württemberg,31012,Ausbaugewerbe,128494,19160
