Jahr,Verwendungszwecke des Individualkonsums,Verbraucherpreisindex 2015=100
2017,Nahrungsmittel und alkoholfreie Getränke,"103,6"
2017,Nahrungsmittel,"103,9"
2017,Brot und Getreideerzeugnisse,"101,0"
2017,"Reis, einschließlich Reiszubereitungen","100,5"
2017,Mehl und andere Getreideerzeugnisse,"100,1"
2017,Brot und Brötchen,"102,5"
2017,Andere Backwaren,"100,1"
2017,"Pizza, Quiches und Ähnliches","98,5"
2017,Teigwaren,"98,4"
2017,Frühstückszubereitungen,"102,4"
2017,Andere Getreideprodukte,"97,6"
