Jahr,Monate,Verwendungszwecke des Individualkonsums,Verbraucherpreisindex 2015=100
2021,Januar,Nahrungsmittel und alkoholfreie Getränke,"111,3"
2021,Januar,Nahrungsmittel,"112,1"
2021,Januar,Brot und Getreideerzeugnisse,"107,2"
2021,Januar,"Reis, einschließlich Reiszubereitungen","110,3"
2021,Januar,Mehl und andere Getreideerzeugnisse,"108,0"
2021,Januar,Brot und Brötchen,"110,1"
2021,Januar,Andere Backwaren,"107,5"
2021,Januar,"Pizza, Quiches und Ähnliches","97,9"
2021,Januar,Teigwaren,"100,6"
2021,Januar,Frühstückszubereitungen,"106,8"
2021,Januar,Andere Getreideprodukte,"97,7"
