Jahr,Verbraucherpreisindex 2015=100,"Verwendungszwecke des Individualkonsums, 2-Steller"
2017,"103,6",Nahrungsmittel und alkoholfreie Getränke
2017,"104,7",Alkoholische Getränke und Tabakwaren
2017,"101,4",Bekleidung und Schuhe
2017,"101,2","Wohnung, Wasser, Strom, Gas und andere Brennstoffe"
2017,"101,1","Möbel, Leuchten, Geräte u.a. Haushaltszubehör"
2017,"102,5",Gesundheit
2017,"101,9",Verkehr
2017,"97,6",Post und Telekommunikation
2017,"102,1","Freizeit, Unterhaltung und Kultur"
2017,"102,7",Bildungswesen
2017,"104,4",Gaststätten- und Beherbergungsdienstleistungen
