Jahr,Monate,Verbraucherpreisindex 2015=100,"Verwendungszwecke des Individualkonsums, 2-Steller"
2021,Januar,"111,3",Nahrungsmittel und alkoholfreie Getränke
2021,Januar,"114,3",Alkoholische Getränke und Tabakwaren
2021,Januar,"101,0",Bekleidung und Schuhe
2021,Januar,"106,7","Wohnung, Wasser, Strom, Gas und andere Brennstoffe"
2021,Januar,"104,5","Möbel, Leuchten, Geräte u.a. Haushaltszubehör"
2021,Januar,"105,3",Gesundheit
2021,Januar,"107,7",Verkehr
2021,Januar,"94,5",Post und Telekommunikation
2021,Januar,"98,4","Freizeit, Unterhaltung und Kultur"
2021,Januar,"103,6",Bildungswesen
2021,Januar,"112,5",Gaststätten- und Beherbergungsdienstleistungen
