Jahr,Gewichtung des Verbraucherpreisindex Promille,Verwendungszwecke des Individualkonsums
2015,"96,85",Nahrungsmittel und alkoholfreie Getränke
2015,"84,87",Nahrungsmittel
2015,"15,03",Brot und Getreideerzeugnisse
2015,"0,30","Reis, einschließlich Reiszubereitungen"
2015,"0,36",Mehl und andere Getreideerzeugnisse
2015,"6,27",Brot und Brötchen
2015,"4,56",Andere Backwaren
2015,"0,89","Pizza, Quiches und Ähnliches"
2015,"1,32",Teigwaren
2015,"1,02",Frühstückszubereitungen
2015,"0,31",Andere Getreideprodukte
