Stichmonat,Abhängige Beschäftigungsverhältnisse 1000,Anteil abh. Beschäftigungsverhältn.mit Niedriglohn Prozent,WZ2008 (Abschnitte),Abhäng. Beschäftigungsverhältnisse mit Niedriglohn 1000
04/2018,310,"54,0","Land- und Forstwirtschaft, Fischerei",166
04/2018,7010,"11,0",Verarbeitendes Gewerbe,736
04/2018,268,"11,0","Wasserversorg.,Entsorg.,Beseitig.v.Umweltverschm.",28
04/2018,1828,"11,0",Baugewerbe,199
04/2018,5174,"29,0","Handel, Instandhaltung und Reparatur von Kfz",1491
04/2018,2087,"30,0",Verkehr und Lagerei,631
04/2018,1766,"67,0",Gastgewerbe,1181
04/2018,1172,"11,0",Information und Kommunikation,124
04/2018,939,"6,0",Erbringung von Finanz- und Versicherungsleistungen,59
04/2018,479,"33,0",Grundstücks- und Wohnungswesen,158
04/2018,2334,"14,0","Freiberufliche, wiss. u. techn. Dienstleistungen",316
