Stichmonat,Abhängige Beschäftigungsverhältnisse 1000,Anteil abh. Beschäftigungsverhältn.mit Niedriglohn Prozent,Geschlecht,WZ2008 (Abschnitte),Abhäng. Beschäftigungsverhältnisse mit Niedriglohn 1000
04/2018,197,"49,0",männlich,"Land- und Forstwirtschaft, Fischerei",97
04/2018,5170,"6,0",männlich,Verarbeitendes Gewerbe,302
04/2018,209,"9,0",männlich,"Wasserversorg.,Entsorg.,Beseitig.v.Umweltverschm.",19
04/2018,1522,"7,0",männlich,Baugewerbe,109
04/2018,2440,"22,0",männlich,"Handel, Instandhaltung und Reparatur von Kfz",530
04/2018,1518,"29,0",männlich,Verkehr und Lagerei,437
04/2018,743,"61,0",männlich,Gastgewerbe,451
04/2018,765,"7,0",männlich,Information und Kommunikation,55
04/2018,413,"4,0",männlich,Erbringung von Finanz- und Versicherungsleistungen,16
04/2018,237,"33,0",männlich,Grundstücks- und Wohnungswesen,78
04/2018,1124,"9,0",männlich,"Freiberufliche, wiss. u. techn. Dienstleistungen",106
