Stichmonat,Abhängige Beschäftigungsverhältnisse 1000,Altersgruppen,Anteil abh. Beschäftigungsverhältn.mit Niedriglohn Prozent,WZ2008 (Abschnitte),Abhäng. Beschäftigungsverhältnisse mit Niedriglohn 1000
04/2018,26,unter 25 Jahre,"66,0","Land- und Forstwirtschaft, Fischerei",17
04/2018,340,unter 25 Jahre,"24,0",Verarbeitendes Gewerbe,83
04/2018,109,unter 25 Jahre,"18,0",Baugewerbe,19
04/2018,435,unter 25 Jahre,"62,0","Handel, Instandhaltung und Reparatur von Kfz",267
04/2018,124,unter 25 Jahre,"56,0",Verkehr und Lagerei,70
04/2018,306,unter 25 Jahre,"85,0",Gastgewerbe,259
04/2018,64,unter 25 Jahre,"50,0",Information und Kommunikation,32
04/2018,124,unter 25 Jahre,"48,0","Freiberufliche, wiss. u. techn. Dienstleistungen",60
04/2018,214,unter 25 Jahre,"58,0",Sonstige wirtschaftliche Dienstleistungen,123
04/2018,110,unter 25 Jahre,"40,0",Erziehung und Unterricht,44
04/2018,235,unter 25 Jahre,"27,0",Gesundheits- und Sozialwesen,64
