Bruttostundenverdienste EUR,Jahr,Geschlecht,WZ2008 (Abschnitte),Verdienstunterschied Prozent
"22,89",2018,Insgesamt,Bergbau und Gewinnung von Steinen und Erden,""
"23,16",2018,Insgesamt,Verarbeitendes Gewerbe,""
"29,32",2018,Insgesamt,Energieversorgung,""
"18,93",2018,Insgesamt,"Wasserversorg.,Entsorg.,Beseitig.v.Umweltverschm.",""
"17,22",2018,Insgesamt,Baugewerbe,""
"16,83",2018,Insgesamt,"Handel, Instandhaltung und Reparatur von Kfz",""
"15,89",2018,Insgesamt,Verkehr und Lagerei,""
"11,40",2018,Insgesamt,Gastgewerbe,""
"26,82",2018,Insgesamt,Information und Kommunikation,""
"27,86",2018,Insgesamt,Erbringung von Finanz- und Versicherungsleistungen,""
"20,79",2018,Insgesamt,Grundstücks- und Wohnungswesen,""
