Bruttostundenverdienste EUR,Jahr,Geschlecht,Verdienstunterschied Prozent,Altersgruppen (u25-65m)
"10,56",2018,Insgesamt,"",unter 25 Jahre
"16,29",2018,Insgesamt,"",25 bis unter 30 Jahre
"19,32",2018,Insgesamt,"",30 bis unter 35 Jahre
"20,70",2018,Insgesamt,"",35 bis unter 40 Jahre
"21,23",2018,Insgesamt,"",40 bis unter 45 Jahre
"21,77",2018,Insgesamt,"",45 bis unter 50 Jahre
"22,03",2018,Insgesamt,"",50 bis unter 55 Jahre
"21,76",2018,Insgesamt,"",55 bis unter 60 Jahre
"21,71",2018,Insgesamt,"",60 bis unter 65 Jahre
"15,53",2018,Insgesamt,"",65 Jahre und mehr
"19,66",2018,Insgesamt,"",Insgesamt
