Stichmonat,Abhängige Beschäftigungsverhältnisse 1000,Anteil abh. Beschäftigungsverhältn.mit Niedriglohn Prozent,Bundesländer,WZ2008 (Abschnitte),Abhäng. Beschäftigungsverhältnisse mit Niedriglohn 1000
04/2018,28,"50,0",Baden-Württemberg,"Land- und Forstwirtschaft, Fischerei",14
04/2018,1434,"8,0",Baden-Württemberg,Verarbeitendes Gewerbe,112
04/2018,802,"25,0",Baden-Württemberg,"Handel, Instandhaltung und Reparatur von Kfz",198
04/2018,246,"29,0",Baden-Württemberg,Verkehr und Lagerei,72
04/2018,242,"63,0",Baden-Württemberg,Gastgewerbe,152
04/2018,198,"8,0",Baden-Württemberg,Information und Kommunikation,15
04/2018,131,"5,0",Baden-Württemberg,Erbringung von Finanz- und Versicherungsleistungen,6
04/2018,52,"32,0",Baden-Württemberg,Grundstücks- und Wohnungswesen,16
04/2018,367,"11,0",Baden-Württemberg,"Freiberufliche, wiss. u. techn. Dienstleistungen",39
04/2018,414,"41,0",Baden-Württemberg,Sonstige wirtschaftliche Dienstleistungen,171
04/2018,284,"3,0",Baden-Württemberg,"Öff. Verwaltung, Verteidigung, Sozialversicherung",8
