Bruttostundenverdienste EUR,Jahr,Bundesländer,Geschlecht,WZ2008 (Abschnitte),Verdienstunterschied Prozent
"19,22",2018,Baden-Württemberg,Insgesamt,Bergbau und Gewinnung von Steinen und Erden,""
"25,10",2018,Baden-Württemberg,Insgesamt,Verarbeitendes Gewerbe,""
"29,38",2018,Baden-Württemberg,Insgesamt,Energieversorgung,""
"19,46",2018,Baden-Württemberg,Insgesamt,"Wasserversorg.,Entsorg.,Beseitig.v.Umweltverschm.",""
"18,42",2018,Baden-Württemberg,Insgesamt,Baugewerbe,""
"17,70",2018,Baden-Württemberg,Insgesamt,"Handel, Instandhaltung und Reparatur von Kfz",""
"15,57",2018,Baden-Württemberg,Insgesamt,Verkehr und Lagerei,""
"11,66",2018,Baden-Württemberg,Insgesamt,Gastgewerbe,""
"28,98",2018,Baden-Württemberg,Insgesamt,Information und Kommunikation,""
"26,59",2018,Baden-Württemberg,Insgesamt,Erbringung von Finanz- und Versicherungsleistungen,""
"22,33",2018,Baden-Württemberg,Insgesamt,Grundstücks- und Wohnungswesen,""
