Bruttostundenverdienste EUR,Jahr,Bundesländer,Geschlecht,Verdienstunterschied Prozent,Altersgruppen (u25-65m)
"11,22",2018,Baden-Württemberg,Insgesamt,"",unter 25 Jahre
"17,47",2018,Baden-Württemberg,Insgesamt,"",25 bis unter 30 Jahre
"20,89",2018,Baden-Württemberg,Insgesamt,"",30 bis unter 35 Jahre
"22,47",2018,Baden-Württemberg,Insgesamt,"",35 bis unter 40 Jahre
"22,52",2018,Baden-Württemberg,Insgesamt,"",40 bis unter 45 Jahre
"23,57",2018,Baden-Württemberg,Insgesamt,"",45 bis unter 50 Jahre
"23,59",2018,Baden-Württemberg,Insgesamt,"",50 bis unter 55 Jahre
"23,33",2018,Baden-Württemberg,Insgesamt,"",55 bis unter 60 Jahre
"23,28",2018,Baden-Württemberg,Insgesamt,"",60 bis unter 65 Jahre
"16,50",2018,Baden-Württemberg,Insgesamt,"",65 Jahre und mehr
"21,01",2018,Baden-Württemberg,Insgesamt,"",Insgesamt
