Arbeiter Anzahl,Stichmonat,Art der Ausbildung,Angestellte Anzahl,Bruttomonatsverdienste der Angestellten EUR,Bruttomonatsverdienste der Arbeiter EUR,Früheres Bundesgebiet / Neue Länder
3469532,10/2005,"Volks.-,Hpt.-,Real.abschl.,m.abg.Berufsausbildung",3412332,3496,2679,Früheres Bundesgebiet
1402325,10/2005,"Volks.-,Hpt.-,Real.abschl.,oh.abg.Berufsausbildung",153122,2960,2327,Früheres Bundesgebiet
30364,10/2005,"Abitur, mit abgeschlossener Berufsausbildung",459814,3901,2602,Früheres Bundesgebiet
15612,10/2005,"Abitur, ohne abgeschlossene Berufsausbildung",66785,3853,2407,Früheres Bundesgebiet
489224,10/2005,Ohne Angabe des Abschlusses,270967,3724,2248,Früheres Bundesgebiet
737064,10/2005,"Volks.-,Hpt.-,Real.abschl.,m.abg.Berufsausbildung",341027,2390,1902,Neue Länder
53546,10/2005,"Volks.-,Hpt.-,Real.abschl.,oh.abg.Berufsausbildung",6124,2369,1732,Neue Länder
6047,10/2005,"Abitur, mit abgeschlossener Berufsausbildung",38829,2853,2099,Neue Länder
859,10/2005,"Abitur, ohne abgeschlossene Berufsausbildung",2808,2766,1986,Neue Länder
95346,10/2005,Ohne Angabe des Abschlusses,43495,2680,1750,Neue Länder
