Arbeiter Anzahl,Stichmonat,Art der Ausbildung,Angestellte Anzahl,Bruttomonatsverdienste der Angestellten EUR,Geschlecht,Bruttomonatsverdienste der Arbeiter EUR,Früheres Bundesgebiet / Neue Länder
3206093,10/2005,"Volks.-,Hpt.-,Real.abschl.,m.abg.Berufsausbildung",2107539,3904,männlich,2719,Früheres Bundesgebiet
1052177,10/2005,"Volks.-,Hpt.-,Real.abschl.,oh.abg.Berufsausbildung",62186,3367,männlich,2446,Früheres Bundesgebiet
25755,10/2005,"Abitur, mit abgeschlossener Berufsausbildung",274087,4349,männlich,2674,Früheres Bundesgebiet
12352,10/2005,"Abitur, ohne abgeschlossene Berufsausbildung",42725,4172,männlich,2465,Früheres Bundesgebiet
396927,10/2005,Ohne Angabe des Abschlusses,161393,4305,männlich,2355,Früheres Bundesgebiet
263439,10/2005,"Volks.-,Hpt.-,Real.abschl.,m.abg.Berufsausbildung",1304793,2762,weiblich,2071,Früheres Bundesgebiet
350148,10/2005,"Volks.-,Hpt.-,Real.abschl.,oh.abg.Berufsausbildung",90935,2652,weiblich,1955,Früheres Bundesgebiet
4609,10/2005,"Abitur, mit abgeschlossener Berufsausbildung",185727,3165,weiblich,2153,Früheres Bundesgebiet
3260,10/2005,"Abitur, ohne abgeschlossene Berufsausbildung",24060,3203,weiblich,2166,Früheres Bundesgebiet
92297,10/2005,Ohne Angabe des Abschlusses,109574,2797,weiblich,1767,Früheres Bundesgebiet
627890,10/2005,"Volks.-,Hpt.-,Real.abschl.,m.abg.Berufsausbildung",144618,2734,männlich,1962,Neue Länder
