Gebrauchsgüter,Ausstattungsgrad je 100 Haushalte Prozent,Erfasste Haushalte Anzahl,Hochgerechnete Haushalte 1000,Stichtag
Personenkraftwagen,"77,9","","",01.01.2011
Personenkraftwagen fabrikneu gekauft,"36,2","","",01.01.2011
Personenkraftwagen gebraucht gekauft,"46,7","","",01.01.2011
Personenkraftwagen geleast,"3,6","","",01.01.2011
Krafträder,"10,8","","",01.01.2011
Fahrrad,"81,0","","",01.01.2011
(Farb-)Fernsehgerät,"96,2","","",01.01.2011
"Flachbildfernseher (LCD, Plasma)","48,7","","",01.01.2011
DVD-Player/Recorder,"71,3","","",01.01.2011
Camcorder (Videokamera),"21,6","","",01.01.2011
Camcorder (Videokamera) analog,"11,1","","",01.01.2011
