Gebrauchsgüter,Ausstattungsgrad je 100 Haushalte Prozent,Erfasste Haushalte Anzahl,Hochgerechnete Haushalte 1000,Haushaltstyp,Stichtag
Personenkraftwagen,"58,3","","",Alleinlebende,01.01.2011
Personenkraftwagen fabrikneu gekauft,"26,7","","",Alleinlebende,01.01.2011
Personenkraftwagen gebraucht gekauft,"30,4","","",Alleinlebende,01.01.2011
Personenkraftwagen geleast,"1,6","","",Alleinlebende,01.01.2011
Krafträder,"4,5","","",Alleinlebende,01.01.2011
Fahrrad,"69,3","","",Alleinlebende,01.01.2011
(Farb-)Fernsehgerät,"92,6","","",Alleinlebende,01.01.2011
"Flachbildfernseher (LCD, Plasma)","36,9","","",Alleinlebende,01.01.2011
DVD-Player/Recorder,"56,3","","",Alleinlebende,01.01.2011
Camcorder (Videokamera),"7,8","","",Alleinlebende,01.01.2011
Camcorder (Videokamera) analog,"4,0","","",Alleinlebende,01.01.2011
