Gebrauchsgüter,Ausstattungsgrad je 100 Haushalte Prozent,Erfasste Haushalte Anzahl,Hochgerechnete Haushalte 1000,Stichtag,Haushaltsnettoeinkommensklassen
Personenkraftwagen,"39,5","","",01.01.2021,unter 1250 EUR
Personenkraftwagen fabrikneu gekauft,"11,5","","",01.01.2021,unter 1250 EUR
Personenkraftwagen gebraucht gekauft,"27,7","","",01.01.2021,unter 1250 EUR
Kraftrad mit Führerscheinpflicht,"4,4","","",01.01.2021,unter 1250 EUR
Fahrrad,"62,6","","",01.01.2021,unter 1250 EUR
Pedelec (E-Bike ohne Führerscheinpflicht),"4,9","","",01.01.2021,unter 1250 EUR
(Farb-)Fernsehgerät,"91,3","","",01.01.2021,unter 1250 EUR
"Flachbildfernseher (LCD, Plasma)","82,9","","",01.01.2021,unter 1250 EUR
DVD- und Blu-ray-Gerät,"42,2","","",01.01.2021,unter 1250 EUR
Blu-ray-Gerät,"10,8","","",01.01.2021,unter 1250 EUR
Fotoapparat/Digitalkamera,"52,1","","",01.01.2021,unter 1250 EUR
