Gebrauchsgüter,Ausstattungsgrad je 100 Haushalte Prozent,Erfasste Haushalte Anzahl,Hochgerechnete Haushalte 1000,Soziale Stellung des Haupteinkommensbeziehers,Stichtag
Personenkraftwagen,"86,6","","",Arbeitnehmer,01.01.2015
Personenkraftwagen fabrikneu gekauft,"35,6","","",Arbeitnehmer,01.01.2015
Personenkraftwagen gebraucht gekauft,"58,7","","",Arbeitnehmer,01.01.2015
Personenkraftwagen geleast,"4,9","","",Arbeitnehmer,01.01.2015
Krafträder,"15,6","","",Arbeitnehmer,01.01.2015
Fahrrad,"88,3","","",Arbeitnehmer,01.01.2015
Pedelec (E-Bike ohne Führerscheinpflicht),"3,3","","",Arbeitnehmer,01.01.2015
(Farb-)Fernsehgerät,"98,0","","",Arbeitnehmer,01.01.2015
"Flachbildfernseher (LCD, Plasma)","85,6","","",Arbeitnehmer,01.01.2015
DVD- und Blu-ray-Gerät,"77,1","","",Arbeitnehmer,01.01.2015
Blu-ray-Gerät,"24,2","","",Arbeitnehmer,01.01.2015
