Gebrauchsgüter,Ausstattungsgrad je 100 Haushalte Prozent,Erfasste Haushalte Anzahl,Hochgerechnete Haushalte 1000,Alter des Haupteinkommensbeziehers,Stichtag
Personenkraftwagen,"55,8","","",18 bis unter 25 Jahre,01.01.2011
Fahrrad,"71,7","","",18 bis unter 25 Jahre,01.01.2011
(Farb-)Fernsehgerät,"95,1","","",18 bis unter 25 Jahre,01.01.2011
"Flachbildfernseher (LCD, Plasma)","65,7","","",18 bis unter 25 Jahre,01.01.2011
DVD-Player/Recorder,"84,5","","",18 bis unter 25 Jahre,01.01.2011
Fotoapparat/Digitalkamera,"77,8","","",18 bis unter 25 Jahre,01.01.2011
Digitalkamera (Fotoapparat digital),"76,0","","",18 bis unter 25 Jahre,01.01.2011
MP3-Player,"84,2","","",18 bis unter 25 Jahre,01.01.2011
Kabelanschluss,"67,7","","",18 bis unter 25 Jahre,01.01.2011
CD-Player/CD-Recorder (auch im PC),"60,0","","",18 bis unter 25 Jahre,01.01.2011
Spielekonsole,"49,5","","",18 bis unter 25 Jahre,01.01.2011
