Gebrauchsgüter,Ausstattungsgrad je 100 Haushalte Prozent,Erfasste Haushalte Anzahl,Hochgerechnete Haushalte 1000,Stichtag,Früheres Bundesgebiet / Neue Länder
Personenkraftwagen,"79,7","","",01.01.2011,Früheres Bundesgebiet
Personenkraftwagen fabrikneu gekauft,"37,1","","",01.01.2011,Früheres Bundesgebiet
Personenkraftwagen gebraucht gekauft,"47,9","","",01.01.2011,Früheres Bundesgebiet
Personenkraftwagen geleast,"3,9","","",01.01.2011,Früheres Bundesgebiet
Krafträder,"11,4","","",01.01.2011,Früheres Bundesgebiet
Fahrrad,"81,6","","",01.01.2011,Früheres Bundesgebiet
(Farb-)Fernsehgerät,"96,2","","",01.01.2011,Früheres Bundesgebiet
"Flachbildfernseher (LCD, Plasma)","48,6","","",01.01.2011,Früheres Bundesgebiet
DVD-Player/Recorder,"70,7","","",01.01.2011,Früheres Bundesgebiet
Camcorder (Videokamera),"21,3","","",01.01.2011,Früheres Bundesgebiet
Camcorder (Videokamera) analog,"10,8","","",01.01.2011,Früheres Bundesgebiet
