Gebrauchsgüter,Ausstattungsgrad je 100 Haushalte Prozent,Erfasste Haushalte Anzahl,Hochgerechnete Haushalte 1000,Haushaltstyp,Stichtag,Früheres Bundesgebiet / Neue Länder
Personenkraftwagen,"54,9","","",Alleinlebende,01.01.2003,Früheres Bundesgebiet
Personenkraftwagen fabrikneu gekauft,"24,9","","",Alleinlebende,01.01.2003,Früheres Bundesgebiet
Personenkraftwagen gebraucht gekauft,"29,2","","",Alleinlebende,01.01.2003,Früheres Bundesgebiet
Krafträder,"4,3","","",Alleinlebende,01.01.2003,Früheres Bundesgebiet
Fahrrad,"66,7","","",Alleinlebende,01.01.2003,Früheres Bundesgebiet
DVD-Player/Recorder,"14,1","","",Alleinlebende,01.01.2003,Früheres Bundesgebiet
Videorecorder,"53,8","","",Alleinlebende,01.01.2003,Früheres Bundesgebiet
Camcorder (Videokamera),"8,7","","",Alleinlebende,01.01.2003,Früheres Bundesgebiet
Camcorder (Videokamera) analog,"5,7","","",Alleinlebende,01.01.2003,Früheres Bundesgebiet
Camcorder (Videokamera) digital,"4,5","","",Alleinlebende,01.01.2003,Früheres Bundesgebiet
HiFi-Anlage,"62,4","","",Alleinlebende,01.01.2003,Früheres Bundesgebiet
