Gebrauchsgüter,Ausstattungsgrad je 100 Haushalte Prozent,Erfasste Haushalte Anzahl,Hochgerechnete Haushalte 1000,Stichtag,Früheres Bundesgebiet / Neue Länder,Haushaltsnettoeinkommensklassen
Personenkraftwagen,"48,8","","",01.01.2003,Früheres Bundesgebiet,unter 1300 EUR
Personenkraftwagen fabrikneu gekauft,"20,4","","",01.01.2003,Früheres Bundesgebiet,unter 1300 EUR
Personenkraftwagen gebraucht gekauft,"29,2","","",01.01.2003,Früheres Bundesgebiet,unter 1300 EUR
Fahrrad,"68,7","","",01.01.2003,Früheres Bundesgebiet,unter 1300 EUR
DVD-Player/Recorder,"14,0","","",01.01.2003,Früheres Bundesgebiet,unter 1300 EUR
Videorecorder,"50,2","","",01.01.2003,Früheres Bundesgebiet,unter 1300 EUR
Camcorder (Videokamera),"9,1","","",01.01.2003,Früheres Bundesgebiet,unter 1300 EUR
Camcorder (Videokamera) analog,"6,8","","",01.01.2003,Früheres Bundesgebiet,unter 1300 EUR
HiFi-Anlage,"53,6","","",01.01.2003,Früheres Bundesgebiet,unter 1300 EUR
Satellitenempfangsanlage,"29,0","","",01.01.2003,Früheres Bundesgebiet,unter 1300 EUR
Kabelanschluss,"47,8","","",01.01.2003,Früheres Bundesgebiet,unter 1300 EUR
