Gebrauchsgüter,Ausstattungsgrad je 100 Haushalte Prozent,Erfasste Haushalte Anzahl,Hochgerechnete Haushalte 1000,Soziale Stellung des Haupteinkommensbeziehers,Stichtag,Früheres Bundesgebiet / Neue Länder
Personenkraftwagen,"76,6","","",Arbeitnehmer,01.01.2003,Früheres Bundesgebiet
Personenkraftwagen fabrikneu gekauft,"35,9","","",Arbeitnehmer,01.01.2003,Früheres Bundesgebiet
Personenkraftwagen gebraucht gekauft,"46,3","","",Arbeitnehmer,01.01.2003,Früheres Bundesgebiet
Personenkraftwagen geleast,"2,8","","",Arbeitnehmer,01.01.2003,Früheres Bundesgebiet
Krafträder,"11,0","","",Arbeitnehmer,01.01.2003,Früheres Bundesgebiet
Fahrrad,"80,9","","",Arbeitnehmer,01.01.2003,Früheres Bundesgebiet
DVD-Player/Recorder,"26,8","","",Arbeitnehmer,01.01.2003,Früheres Bundesgebiet
Videorecorder,"70,1","","",Arbeitnehmer,01.01.2003,Früheres Bundesgebiet
Camcorder (Videokamera),"24,8","","",Arbeitnehmer,01.01.2003,Früheres Bundesgebiet
Camcorder (Videokamera) analog,"18,0","","",Arbeitnehmer,01.01.2003,Früheres Bundesgebiet
Camcorder (Videokamera) digital,"11,0","","",Arbeitnehmer,01.01.2003,Früheres Bundesgebiet
