Gebrauchsgüter,Ausstattungsgrad je 100 Haushalte Prozent,Erfasste Haushalte Anzahl,Hochgerechnete Haushalte 1000,Alter des Haupteinkommensbeziehers,Stichtag,Früheres Bundesgebiet / Neue Länder
Personenkraftwagen,"78,0","","",25 bis unter 35 Jahre,01.01.2004,Früheres Bundesgebiet
Personenkraftwagen fabrikneu gekauft,"21,7","","",25 bis unter 35 Jahre,01.01.2004,Früheres Bundesgebiet
Personenkraftwagen gebraucht gekauft,"59,8","","",25 bis unter 35 Jahre,01.01.2004,Früheres Bundesgebiet
Krafträder,"10,7","","",25 bis unter 35 Jahre,01.01.2004,Früheres Bundesgebiet
Fahrrad,"88,5","","",25 bis unter 35 Jahre,01.01.2004,Früheres Bundesgebiet
(Farb-)Fernsehgerät,"90,3","","",25 bis unter 35 Jahre,01.01.2004,Früheres Bundesgebiet
DVD-Player/Recorder,"52,2","","",25 bis unter 35 Jahre,01.01.2004,Früheres Bundesgebiet
Videorecorder,"73,1","","",25 bis unter 35 Jahre,01.01.2004,Früheres Bundesgebiet
Camcorder (Videokamera),"19,5","","",25 bis unter 35 Jahre,01.01.2004,Früheres Bundesgebiet
Camcorder (Videokamera) analog,"13,7","","",25 bis unter 35 Jahre,01.01.2004,Früheres Bundesgebiet
Fotoapparat/Digitalkamera,"86,4","","",25 bis unter 35 Jahre,01.01.2004,Früheres Bundesgebiet
