Jahr,Ausgabearten der öffentlichen Haushalte,Körperschaftsgruppen,Ausgaben der öffentlichen Haushalte Mill. EUR
1992,Personalausgaben,Bund,26328
1992,Laufender Sachaufwand,Bund,22234
1992,Zinsausgaben an andere Bereiche,Bund,22407
1992,Laufende Zuweisungen an öffentlichen Bereich,Bund,65199
1992,Laufende Zuschüsse an andere Bereiche,Bund,42211
1992,Schuldendiensthilfen an öffentlichen Bereich,Bund,6676
1992,Schuldendiensthilfen an andere Bereiche,Bund,1262
1992,Ausgaben der laufenden Rechnung,Bund,186317
1992,Baumaßnahmen,Bund,5614
1992,Erwerb von unbeweglichem Sachvermögen,Bund,504
1992,Erwerb von beweglichem Sachvermögen,Bund,930
