Jahr,Einnahmearten der öffentlichen Haushalte,Körperschaftsgruppen,Einnahmen der öffentlichen Haushalte Mill. EUR
1992,Steuern,Bund,182432
1992,Steuerähnliche Abgaben,Bund,5
1992,Einnahmen aus wirtschaftlicher Tätigkeit,Bund,8984
1992,Zinseinnahmen vom öffentlichen Bereich,Bund,117
1992,Zinseinnahmen von anderen Bereichen,Bund,790
1992,"Lfd.Zuweisungen,Schuldendiensthilfen v.öff.Bereich",Bund,732
1992,"Lfd.Zuschüsse,Schuldendiensthilfen v.and.Bereichen",Bund,1421
1992,Gebühren und sonstige laufende Einnahmen,Bund,3745
1992,Einnahmen der laufenden Rechnung,Bund,198226
1992,Veräußerung von Sachvermögen,Bund,489
1992,"Zuweisungen f.Invest., Vermögensübertr. v.öff.Ber.",Bund,50
