Besondere Finanzierungsvorgänge (Ausgaben) Mill. EUR,Jahr,Körperschaftsgruppen,Besondere Finanzierungsvorgänge (Einnahmen) Mill. EUR,Schuldenaufnahmen am Kreditmarkt Mill. EUR,Zuführung an Rücklagen Mill. EUR,Entnahmen aus Rücklagen Mill. EUR,Finanzierungssaldo Mill. EUR,Saldo der haushaltstechnischen Verrechnungen Mill. EUR,Schuldentilgungen an Kreditmarkt Mill. EUR
11703,1992,Sozialversicherung,14712,48,11152,14649,-3008,-42,50
22499,1992,Länder,39233,37054,1360,1618,-15852,18,20848
9719,1992,Gemeinden / Gemeindeverbände,15724,11469,4352,4158,-8615,-3,4608
638,1992,Zweckverbände,1053,838,298,212,-410,0,327
25298,1993,Länder,46766,45005,1036,1451,-21541,121,24252
12460,1993,Gemeinden / Gemeindeverbände,18589,14401,4814,4115,-6806,2,6536
818,1993,Zweckverbände,1466,1191,407,273,-581,0,380
30536,1994,Länder,51812,49056,1652,2014,-22795,39,28507
13099,1994,Gemeinden / Gemeindeverbände,14288,10232,5088,4009,-5420,0,6477
846,1994,Zweckverbände,1367,1063,413,287,-605,0,408
37320,1995,Länder,58618,55698,1218,2398,-23057,-6,35954
