Baumassnahmen Mill. EUR,Jahr,Körperschaftsgruppen,Personalausgaben Mill. EUR,Nettoausgaben Mill. EUR,Aufgabenbereiche der öffentlichen Haushalte
250,1992,Bund,3505,5976,Politische Führung und zentrale Verwaltung
52,1992,Bund,378,7568,Auswärtige Angelegenheiten
44,1992,Bund,13928,27970,Verteidigung
38,1992,Bund,934,1357,Öffentliche Sicherheit und Ordnung
10,1992,Bund,188,334,Rechtsschutz
17,1992,Bund,7,1651,Hochschulen
0,1992,Bund,10,457,Sonstiges Bildungswesen
80,1992,Bund,523,6191,"Wissenschaft,Forsch.,Entwickl. außerh. d. Hochsch."
13,1992,Bund,109,75726,"Soz.Sicherung,Soz.Kriegsfolgeaufgaben,Wiedergutmg."
137,1992,Bund,59,1015,"Gesundheit, Umwelt, Sport und Erholung"
3,1992,Bund,35,3637,"Ernährung, Landwirtschaft und Forsten"
