Jahr,Körperschaftsgruppen,Investitionsausgaben der öffentlichen Haushalte Mill. EUR,Art der Investitionsausgaben
1984,Bund,2988,Baumaßnahmen
1984,Bund,432,Erwerb von beweglichem Sachvermögen
1984,Bund,293,Erwerb von unbeweglichem Sachvermögen
1984,Bund,1002,Erwerb von Beteiligungen
1984,Bund,1845,Darlehen an andere Bereiche
1984,Bund,1400,Inanspruchnahme aus Gewährleistungen
1984,Bund,4529,Zuschüsse für Investitionen an andere Bereiche
1984,Sondervermögen des Bundes,1,Erwerb von Beteiligungen
1984,Sondervermögen des Bundes,1669,Darlehen an andere Bereiche
1984,Sondervermögen des Bundes,1,Inanspruchnahme aus Gewährleistungen
1984,Sozialversicherung,188,Baumaßnahmen
