Jahr,Körperschaftsgruppen,Bundesländer,Investitionsausgaben der öffentlichen Haushalte Mill. EUR,Art der Investitionsausgaben
1984,Staat,Baden-Württemberg,449,Baumaßnahmen
1984,Staat,Baden-Württemberg,150,Erwerb von beweglichem Sachvermögen
1984,Staat,Baden-Württemberg,51,Erwerb von unbeweglichem Sachvermögen
1984,Staat,Baden-Württemberg,163,Erwerb von Beteiligungen
1984,Staat,Baden-Württemberg,475,Darlehen an andere Bereiche
1984,Staat,Baden-Württemberg,1,Inanspruchnahme aus Gewährleistungen
1984,Staat,Baden-Württemberg,516,Zuschüsse für Investitionen an andere Bereiche
1984,Gemeinden / Gemeindeverbände,Baden-Württemberg,2349,Baumaßnahmen
1984,Gemeinden / Gemeindeverbände,Baden-Württemberg,163,Erwerb von beweglichem Sachvermögen
1984,Gemeinden / Gemeindeverbände,Baden-Württemberg,548,Erwerb von unbeweglichem Sachvermögen
1984,Gemeinden / Gemeindeverbände,Baden-Württemberg,143,Erwerb von Beteiligungen
