Quartale,Jahr,Steuerarten vor der Steuerverteilung,Steuereinnahmen Tsd. EUR
1. Quartal,2021,Steuereinnahmen insgesamt,189325424
1. Quartal,2021,Gemeinschaftsteuern,141176896
1. Quartal,2021,Lohnsteuer,50853943
1. Quartal,2021,Veranlagte Einkommensteuer,17826363
1. Quartal,2021,Nicht veranlagte Steuern vom Ertrag,4260475
1. Quartal,2021,Abgeltungssteuer,3237788
1. Quartal,2021,Körperschaftsteuer,10202867
1. Quartal,2021,Umsatzsteuer,45403141
1. Quartal,2021,Einfuhrumsatzsteuer,9392320
1. Quartal,2021,Bundessteuern,21711986
1. Quartal,2021,Versicherungsteuer,6776276
