Quartale,Jahr,Steuerarten nach der Steuerverteilung,Steuereinnahmen Tsd. EUR
1. Quartal,2021,Steuereinnahmen insgesamt,179162249
1. Quartal,2021,EU-Eigenmittel,13320211
1. Quartal,2021,Zölle,1076187
1. Quartal,2021,Mehrwertsteuer-Eigenmittel,1515005
1. Quartal,2021,BNE-Eigenmittel,10729020
1. Quartal,2021,Steuereinnahmen des Bundes,65927240
1. Quartal,2021,Bundessteuern,21711986
1. Quartal,2021,Lohn- und veranlagte Einkommenssteuer (Bund),29189130
1. Quartal,2021,N.veranl.Steuern v.Ertrag u.Körperschaftsst.(Bund),7231671
1. Quartal,2021,Abgeltungsteuer (Bund),1424627
1. Quartal,2021,Steuern vom Umsatz (Bund),25396064
