Festgesetzte Einkommensteuer Tsd. EUR,Jahr,Lohn- und Einkommensteuerpflichtige Anzahl,Zu versteuerndes Einkommen Tsd. EUR,Gesamtbetrag der Einkünfte Tsd. EUR,Einkommen Tsd. EUR
112779366,1989,23120511,468679323,581601478,487722999
141299155,1992,27556294,636562211,792623321,675814544
145826031,1995,27683079,663364347,843722270,702136919
170010022,1998,28293387,749995454,902992042,757669129
177084269,2001,28832107,818118073,966052735,832812764
180840339,2004,35020509,890604870,1052549960,909676842
210953445,2007,38365668,1060441011,1214619430,1078980381
206222692,2010,38706068,1047056181,1249618132,1068713476
233302702,2012,38847681,1133141691,1356855777,1158106624
246074880,2013,39538581,1185153043,1415888660,1211471917
259438438,2014,39939556,1241162179,1479376081,1268914935
