Jahr,Lohn- und Einkommensteuerpflichtige Anzahl,Einkunftsarten,Positive Einkünfte Mill. EUR
1989,463755,Land- und Forstwirtschaft,5897
1989,1878131,Gewerbebetrieb,71901
1989,844238,Selbständige Arbeit,24992
1989,21101096,Nichtselbständige Arbeit,463928
1989,3366369,Kapitalvermögen,15781
1989,1665443,Vermietung und Verpachtung,9653
1989,2514225,Sonstige Einkünfte,7659
1992,484710,Land- und Forstwirtschaft,6431
1992,2302897,Gewerbebetrieb,76658
1992,1041824,Selbständige Arbeit,35456
1992,25162562,Nichtselbständige Arbeit,649057
