Jahr,Lohn- und Einkommensteuerpflichtige Anzahl,Zuwendungen Tsd. EUR,Größenklassen der Einkünfte,Grund-/Splittingtabelle,Art der Zuwendungen
2018,137956,157907,unter 5000 EUR,Besteuerung nach der Grundtabelle,Zuwendungen geltend gemacht n. §§ 10b u. 34g EStG
2018,154846,95670,5000 bis unter 10000 EUR,Besteuerung nach der Grundtabelle,Zuwendungen geltend gemacht n. §§ 10b u. 34g EStG
2018,1075929,427978,10000 bis unter 20000 EUR,Besteuerung nach der Grundtabelle,Zuwendungen geltend gemacht n. §§ 10b u. 34g EStG
2018,899976,377573,20000 bis unter 30000 EUR,Besteuerung nach der Grundtabelle,Zuwendungen geltend gemacht n. §§ 10b u. 34g EStG
2018,857720,372897,30000 bis unter 40000 EUR,Besteuerung nach der Grundtabelle,Zuwendungen geltend gemacht n. §§ 10b u. 34g EStG
2018,639136,340026,40000 bis unter 50000 EUR,Besteuerung nach der Grundtabelle,Zuwendungen geltend gemacht n. §§ 10b u. 34g EStG
2018,1004392,639126,50000 bis unter 100000 EUR,Besteuerung nach der Grundtabelle,Zuwendungen geltend gemacht n. §§ 10b u. 34g EStG
2018,227366,488124,100000 bis unter 250000 EUR,Besteuerung nach der Grundtabelle,Zuwendungen geltend gemacht n. §§ 10b u. 34g EStG
2018,32240,254613,250000 bis unter 500000 EUR,Besteuerung nach der Grundtabelle,Zuwendungen geltend gemacht n. §§ 10b u. 34g EStG
2018,14138,747893,500000 EUR oder mehr,Besteuerung nach der Grundtabelle,Zuwendungen geltend gemacht n. §§ 10b u. 34g EStG
2018,5043699,3901808,Insgesamt,Besteuerung nach der Grundtabelle,Zuwendungen geltend gemacht n. §§ 10b u. 34g EStG
