Jahr,Aussergewöhnliche Belastungen Tsd. EUR,Größenklassen der Einkünfte,Grund-/Splittingtabelle,Art der außergewöhnlichen Belastungen,Unbeschränkt Lohn- und Einkommensteuerpflichtige Anzahl
2018,104102,unter 5000 EUR,Besteuerung nach der Grundtabelle,Außergewöhnliche Belastungen nach § 33 EStG,102647
2018,150499,5000 bis unter 10000 EUR,Besteuerung nach der Grundtabelle,Außergewöhnliche Belastungen nach § 33 EStG,91621
2018,1185781,10000 bis unter 20000 EUR,Besteuerung nach der Grundtabelle,Außergewöhnliche Belastungen nach § 33 EStG,583193
2018,759127,20000 bis unter 30000 EUR,Besteuerung nach der Grundtabelle,Außergewöhnliche Belastungen nach § 33 EStG,287519
2018,431193,30000 bis unter 40000 EUR,Besteuerung nach der Grundtabelle,Außergewöhnliche Belastungen nach § 33 EStG,158752
2018,243458,40000 bis unter 50000 EUR,Besteuerung nach der Grundtabelle,Außergewöhnliche Belastungen nach § 33 EStG,82331
2018,264496,50000 bis unter 100000 EUR,Besteuerung nach der Grundtabelle,Außergewöhnliche Belastungen nach § 33 EStG,78083
2018,45526,100000 bis unter 250000 EUR,Besteuerung nach der Grundtabelle,Außergewöhnliche Belastungen nach § 33 EStG,7109
2018,5166,250000 bis unter 500000 EUR,Besteuerung nach der Grundtabelle,Außergewöhnliche Belastungen nach § 33 EStG,379
2018,2306,500000 EUR oder mehr,Besteuerung nach der Grundtabelle,Außergewöhnliche Belastungen nach § 33 EStG,42
2018,3191655,Insgesamt,Besteuerung nach der Grundtabelle,Außergewöhnliche Belastungen nach § 33 EStG,1391676
