Einkünfte je Betrieb EUR,Jahr,Gewinnermittlung,Einkünfte Tsd. EUR,Einkunftsarten,Betriebe Anzahl
26892,2018,Betriebseinnahmen,6784632,Land- und Forstwirtschaft,252292
5888,2018,Betriebseinn. als umsatzsteuerl. Kleinunternehmer,174641,Land- und Forstwirtschaft,29663
18836,2018,Betriebseinnahmen als Land- / Forstwirt,2782318,Land- und Forstwirtschaft,147714
29979,2018,Umsatzsteuerpflichtige Betriebseinnahmen,984154,Land- und Forstwirtschaft,32828
12483,2018,"USt-freie, nicht umsatzsteuerbare Betriebseinn.",1347586,Land- und Forstwirtschaft,107957
3836,2018,Vereinnahmte Ust / USt auf unentgeltl. Wertabgaben,137525,Land- und Forstwirtschaft,35847
4840,2018,Vom Finanzamt erstattete und ggf. verrechnete USt,86867,Land- und Forstwirtschaft,17946
40717,2018,Veräußerung / Entnahme Anlagevermögen,975242,Land- und Forstwirtschaft,23952
2623,2018,Private Kfz-Nutzung,19789,Land- und Forstwirtschaft,7544
1539,2018,"Sonstige Sach-, Nutzungs- und Leistungsentnahmen",118783,Land- und Forstwirtschaft,77169
41520,2018,Auflösung von Rücklagen und Ausgleichsposten,160640,Land- und Forstwirtschaft,3869
