Gewinnfälle und Verlustfälle,Jahr,Personengesellschaften und Gemeinschaften Anzahl,Einkünfte Tsd. EUR,Einkunftsarten
Gewinnfälle,1995,26150,91037,Land- und Forstwirtschaft
Verlustfälle,1995,3917,-218884,Land- und Forstwirtschaft
Insgesamt,1995,30067,691453,Land- und Forstwirtschaft
Gewinnfälle,1995,205763,46196415,Gewerbebetrieb
Verlustfälle,1995,100305,-29106611,Gewerbebetrieb
Insgesamt,1995,306068,17089804,Gewerbebetrieb
Gewinnfälle,1995,45976,8628146,Selbständige Arbeit
Verlustfälle,1995,8104,-464871,Selbständige Arbeit
Insgesamt,1995,54080,8163275,Selbständige Arbeit
Gewinnfälle,1995,41826,900179,Kapitalvermögen
Verlustfälle,1995,9340,25948,Kapitalvermögen
