Gewinnfälle und Verlustfälle,Jahr,Personengesellschaften und Gemeinschaften Anzahl,Einkünfte Tsd. EUR,Positive und negative Einkünfte,Einkunftsarten
Gewinnfälle,2007,35027,1861059,Positive Einkünfte,Land- und Forstwirtschaft
Verlustfälle,2007,457,756,Positive Einkünfte,Land- und Forstwirtschaft
Insgesamt,2007,35484,1861815,Positive Einkünfte,Land- und Forstwirtschaft
Gewinnfälle,2007,490,-989,Negative Einkünfte,Land- und Forstwirtschaft
Verlustfälle,2007,5358,-105915,Negative Einkünfte,Land- und Forstwirtschaft
Insgesamt,2007,5848,-106904,Negative Einkünfte,Land- und Forstwirtschaft
Gewinnfälle,2007,335364,115613448,Positive Einkünfte,Gewerbebetrieb
Verlustfälle,2007,1102,24611,Positive Einkünfte,Gewerbebetrieb
Insgesamt,2007,336466,115638059,Positive Einkünfte,Gewerbebetrieb
Gewinnfälle,2007,1518,-13423,Negative Einkünfte,Gewerbebetrieb
Verlustfälle,2007,128051,-20846716,Negative Einkünfte,Gewerbebetrieb
