Gewinnfälle und Verlustfälle,Jahr,Bundesländer,Personengesellschaften und Gemeinschaften Anzahl,Einkünfte Tsd. EUR
Gewinnfälle,2008,Baden-Württemberg,121205,23118731
Verlustfälle,2008,Baden-Württemberg,47901,-3024936
Insgesamt,2008,Baden-Württemberg,169106,20093795
Gewinnfälle,2008,Bayern,131456,29302231
Verlustfälle,2008,Bayern,53893,-6848221
Insgesamt,2008,Bayern,185349,22454010
Gewinnfälle,2008,Berlin,30235,4642223
Verlustfälle,2008,Berlin,16502,-1394919
Insgesamt,2008,Berlin,46737,3247304
Gewinnfälle,2008,Brandenburg,15194,4184164
Verlustfälle,2008,Brandenburg,7261,-487401
