Jahr,Angemeldete Beträge Tsd. EUR,Arbeitgeber Anzahl,Komponenten der Lohnsteueranmeldung,Betriebsgrößenklassen
2021,15568802,1331885,Einzubehaltende Lohnsteuer nach §§ 39b u. 39c EStG,bis 10 Arbeitnehmer
2021,107776,328646,Pauschale Lohnsteuer (ohne § 37b EStG),bis 10 Arbeitnehmer
2021,12101,34868,Pauschale Lohnsteuer nach § 37b EStG,bis 10 Arbeitnehmer
2021,15688680,1368655,Lohnsteuer insgesamt,bis 10 Arbeitnehmer
2021,1179,228,An Arbeitnehmer ausgezahltes Kindergeld,bis 10 Arbeitnehmer
2021,503,41,Kürzungsbetrag f. Besatzungsmgl. v.Handelsschiffen,bis 10 Arbeitnehmer
2021,10264,47647,BAV-Förderbetrag (betriebliche Altersversorgung),bis 10 Arbeitnehmer
2021,15676735,1370000,Lohnsteuer nach Abzügen,bis 10 Arbeitnehmer
2021,260079,425775,Solidaritätszuschlag,bis 10 Arbeitnehmer
2021,489333,916418,Kirchensteuer und Beiträge zu Kammern,bis 10 Arbeitnehmer
2021,16426147,1374497,An die Finanzverwaltung abzuführender Betrag,bis 10 Arbeitnehmer
