Beschäftigte im öffentlichen Dienst 1000,Beschäftigungsumfang,Stichtag,Beschäftigungsbereich,Dienstverhältnis
"197,5",Vollzeit,30.06.2000,Bundesbereich,Beamte und Richter
"12,3",Teilzeit,30.06.2000,Bundesbereich,Beamte und Richter
"209,8",Insgesamt,30.06.2000,Bundesbereich,Beamte und Richter
"186,6",Vollzeit,30.06.2000,Bundesbereich,Berufs- und Zeitsoldaten
"186,6",Insgesamt,30.06.2000,Bundesbereich,Berufs- und Zeitsoldaten
"171,1",Vollzeit,30.06.2000,Bundesbereich,Arbeitnehmer
"30,2",Teilzeit,30.06.2000,Bundesbereich,Arbeitnehmer
"201,3",Insgesamt,30.06.2000,Bundesbereich,Arbeitnehmer
"555,2",Vollzeit,30.06.2000,Bundesbereich,Insgesamt
"42,5",Teilzeit,30.06.2000,Bundesbereich,Insgesamt
"597,7",Insgesamt,30.06.2000,Bundesbereich,Insgesamt
