Beschäftigte im Aufgabenbereich Polizei 1000,Stichtag,Beschäftigungsbereich,Dienstverhältnis,Geschlecht,Besch. im Aufg.ber. Polizei (Vollzeitäquivalente) 1000
"38,7",30.06.2021,Bundesbereich,Beamte,männlich,"38,4"
"10,8",30.06.2021,Bundesbereich,Beamte,weiblich,"10,2"
"49,5",30.06.2021,Bundesbereich,Beamte,Insgesamt,"48,6"
"4,5",30.06.2021,Bundesbereich,Arbeitnehmer,männlich,"4,4"
"4,3",30.06.2021,Bundesbereich,Arbeitnehmer,weiblich,"3,9"
"8,8",30.06.2021,Bundesbereich,Arbeitnehmer,Insgesamt,"8,3"
"43,1",30.06.2021,Bundesbereich,Insgesamt,männlich,"42,8"
"15,2",30.06.2021,Bundesbereich,Insgesamt,weiblich,"14,1"
"58,3",30.06.2021,Bundesbereich,Insgesamt,Insgesamt,"56,9"
"178,2",30.06.2021,Landesbereich,Beamte,männlich,"176,9"
"69,7",30.06.2021,Landesbereich,Beamte,weiblich,"64,4"
