Beschäftigte im Aufgabenbereich Polizei 1000,Stichtag,Bundesländer,Dienstverhältnis,Geschlecht,Besch. im Aufg.ber. Polizei (Vollzeitäquivalente) 1000
"20,3",30.06.2021,Baden-Württemberg,Beamte,männlich,"20,1"
"7,9",30.06.2021,Baden-Württemberg,Beamte,weiblich,"7,1"
"28,2",30.06.2021,Baden-Württemberg,Beamte,Insgesamt,"27,2"
"1,1",30.06.2021,Baden-Württemberg,Arbeitnehmer,männlich,"1,1"
"3,1",30.06.2021,Baden-Württemberg,Arbeitnehmer,weiblich,"2,5"
"4,2",30.06.2021,Baden-Württemberg,Arbeitnehmer,Insgesamt,"3,6"
"21,5",30.06.2021,Baden-Württemberg,Insgesamt,männlich,"21,2"
"10,9",30.06.2021,Baden-Württemberg,Insgesamt,weiblich,"9,6"
"32,4",30.06.2021,Baden-Württemberg,Insgesamt,Insgesamt,"30,7"
"28,2",30.06.2021,Bayern,Beamte,männlich,"27,9"
"8,4",30.06.2021,Bayern,Beamte,weiblich,"7,4"
